product_id,product_name,traffic_cnt,click_cnt,conversion_rate,content_interact_cnt,new_user_cnt,service_rating,sales_amount,sales_cnt,visitor_cnt,stat_date,etl_time
P97471974,食品饮料_款式1,9941,3313,0.2588,129,4117,5.0,3685443.37,5131,8894,2025-07-08,2025-07-31 10:30:30.558925
P34671486,食品饮料_款式2,4024,1039,0.0706,25,698,3.9,15009812.64,3228,2668,2025-07-04,2025-07-31 10:30:30.558925
P37336290,家居用品_款式3,9544,2614,0.2139,397,3372,4.8,1869715.65,433,6088,2025-07-08,2025-07-31 10:30:30.558925
P70321385,食品饮料_款式4,8810,1563,0.1888,304,2838,4.1,963965.52,5404,5553,2025-07-26,2025-07-31 10:30:30.558925
P99732401,服装鞋帽_款式5,8189,3917,0.2914,422,1118,3.0,17719443.67,4789,5468,2025-07-25,2025-07-31 10:30:30.558925
P57891077,电子产品_款式6,3067,1283,0.1117,124,476,4.5,1404524.82,2986,1933,2025-07-01,2025-07-31 10:30:30.558925
P10286777,食品饮料_款式7,2531,512,0.2143,355,294,4.6,4342788.45,1001,1519,2025-07-10,2025-07-31 10:30:30.558925
P54206425,美妆个护_款式8,5666,2340,0.1196,35,1199,3.2,524625.75,3075,3658,2025-07-27,2025-07-31 10:30:30.558925
P24548719,家居用品_款式9,5703,1740,0.2518,433,1053,3.4,13192522.49,3143,4166,2025-07-09,2025-07-31 10:30:30.558925
P24117919,食品饮料_款式10,726,223,0.2401,179,342,4.7,96617.88,274,611,2025-07-13,2025-07-31 10:30:30.558925
P13612054,服装鞋帽_款式11,9468,1105,0.1929,249,3600,4.1,5189319.19,6623,7833,2025-07-29,2025-07-31 10:30:30.558925
P98593422,美妆个护_款式12,4634,1079,0.2595,202,1881,3.4,10428459.88,2818,4100,2025-07-16,2025-07-31 10:30:30.558925
P03666095,美妆个护_款式13,5650,1829,0.0738,69,2028,4.4,3663563.05,1645,4705,2025-07-12,2025-07-31 10:30:30.558925
P69784934,电子产品_款式14,5834,1927,0.2182,285,1257,4.0,4932801.84,1236,4900,2025-07-10,2025-07-31 10:30:30.558925
P98645501,食品饮料_款式15,2056,530,0.2522,127,531,4.2,626431.82,1981,1536,2025-07-17,2025-07-31 10:30:30.558925
P84824802,美妆个护_款式16,1732,450,0.0104,250,224,4.9,935272.26,234,1466,2025-07-30,2025-07-31 10:30:30.558925
P86006965,美妆个护_款式17,3859,693,0.1245,412,816,4.2,10915725.0,2500,2838,2025-07-17,2025-07-31 10:30:30.558925
P51339477,服装鞋帽_款式18,9396,4540,0.2556,359,2191,4.2,22340026.5,6105,7311,2025-07-24,2025-07-31 10:30:30.558925
P72478287,家居用品_款式19,6818,780,0.1597,25,1981,4.8,5067458.88,3421,5072,2025-07-16,2025-07-31 10:30:30.558925
P54627248,家居用品_款式20,3869,923,0.2047,190,538,3.5,2377439.46,726,3084,2025-07-12,2025-07-31 10:30:30.558925
P35472282,服装鞋帽_款式21,4592,1325,0.1821,256,802,4.1,13201397.6,3760,2842,2025-07-18,2025-07-31 10:30:30.558925
P71023128,电子产品_款式22,8034,2693,0.2065,29,1214,3.6,10696049.39,5317,5666,2025-07-15,2025-07-31 10:30:30.558925
P12622422,家居用品_款式23,9827,2494,0.1981,346,1180,3.8,8951032.44,2142,6562,2025-07-16,2025-07-31 10:30:30.558925
P88459196,美妆个护_款式24,3917,749,0.2497,13,405,3.2,12861807.2,3370,2670,2025-07-21,2025-07-31 10:30:30.558925
P23790516,美妆个护_款式25,7266,1723,0.1905,417,1818,4.5,18129767.6,4060,5886,2025-07-25,2025-07-31 10:30:30.558925
P93456097,家居用品_款式26,9939,3764,0.1552,451,1285,3.4,30985206.0,9398,8103,2025-07-25,2025-07-31 10:30:30.558925
P07018093,电子产品_款式27,7034,2933,0.0642,127,2383,4.0,25888069.2,6766,4548,2025-07-08,2025-07-31 10:30:30.558925
P94586457,家居用品_款式28,3913,1906,0.1342,320,549,4.2,6366201.48,2006,2435,2025-07-05,2025-07-31 10:30:30.558925
P49167507,家居用品_款式29,3977,1971,0.2845,185,1496,4.3,16795104.0,3831,2764,2025-07-03,2025-07-31 10:30:30.558925
P89045803,电子产品_款式30,6470,702,0.273,461,1296,4.3,686562.24,406,4836,2025-07-25,2025-07-31 10:30:30.558925
P76743713,美妆个护_款式31,2345,311,0.1391,298,888,4.0,201836.07,51,1713,2025-07-06,2025-07-31 10:30:30.558925
P90125128,电子产品_款式32,7955,3138,0.1299,323,2298,3.7,6371759.8,2380,6624,2025-07-05,2025-07-31 10:30:30.558925
P06966803,美妆个护_款式33,2937,719,0.2895,442,1187,3.4,153686.06,418,2510,2025-07-06,2025-07-31 10:30:30.558925
P31430092,美妆个护_款式34,8153,3433,0.2523,419,4068,4.1,15661747.77,6789,5210,2025-07-05,2025-07-31 10:30:30.558925
P37682710,美妆个护_款式35,9253,3490,0.12,302,1754,3.5,26664073.68,5846,7008,2025-07-16,2025-07-31 10:30:30.558925
P13196525,家居用品_款式36,7009,837,0.2208,422,3103,4.0,4045637.4,1580,5191,2025-07-23,2025-07-31 10:30:30.558925
P85774966,食品饮料_款式37,1687,381,0.1136,195,382,4.2,56028.74,101,1267,2025-07-16,2025-07-31 10:30:30.558925
P01792239,美妆个护_款式38,9782,4049,0.0825,181,3489,3.2,16286344.76,9734,8668,2025-07-01,2025-07-31 10:30:30.558925
P02589070,食品饮料_款式39,8635,3242,0.2083,130,992,3.7,8176224.72,5717,7723,2025-07-12,2025-07-31 10:30:30.558925
P07608768,家居用品_款式40,604,91,0.229,213,185,3.1,1680010.51,577,445,2025-07-30,2025-07-31 10:30:30.558925
P78144480,食品饮料_款式41,8138,3551,0.0346,354,3436,3.4,12872869.2,4335,6564,2025-07-03,2025-07-31 10:30:30.558925
P47828256,家居用品_款式42,9020,1900,0.2694,234,3327,3.2,11885984.16,6486,6708,2025-07-04,2025-07-31 10:30:30.558925
P86651928,家居用品_款式43,9932,2073,0.0867,387,1052,4.5,12437538.88,4784,6214,2025-07-28,2025-07-31 10:30:30.558925
P05881779,电子产品_款式44,5144,1369,0.2069,177,2262,3.6,18009152.48,3982,3995,2025-07-20,2025-07-31 10:30:30.558925
P67478271,食品饮料_款式45,3306,686,0.0697,164,1406,3.7,7773325.2,2466,2031,2025-07-21,2025-07-31 10:30:30.558925
P28826576,美妆个护_款式46,7588,3793,0.2871,466,3290,3.9,21071055.45,7451,6113,2025-07-02,2025-07-31 10:30:30.558925
P01979954,美妆个护_款式47,884,299,0.0442,158,403,3.2,2317785.75,735,560,2025-07-28,2025-07-31 10:30:30.558925
P35462859,服装鞋帽_款式48,2609,760,0.1382,161,969,3.0,8813340.16,1901,1847,2025-07-01,2025-07-31 10:30:30.558925
P02830600,食品饮料_款式49,2656,868,0.1213,12,1306,4.6,742128.55,197,1996,2025-07-18,2025-07-31 10:30:30.558925
P69597935,食品饮料_款式50,1883,375,0.2628,112,713,5.0,5250598.56,1214,1544,2025-07-13,2025-07-31 10:30:30.558925
P61908785,家居用品_款式51,3390,1236,0.1635,102,1219,4.5,367784.46,2742,2845,2025-07-25,2025-07-31 10:30:30.558925
P13011968,美妆个护_款式52,7157,2054,0.2931,48,2914,3.9,6467484.0,1590,4977,2025-07-29,2025-07-31 10:30:30.558925
P79496943,食品饮料_款式53,2041,465,0.2379,319,310,3.2,212044.8,132,1551,2025-07-17,2025-07-31 10:30:30.558925
P84257692,服装鞋帽_款式54,9599,3530,0.2401,273,1701,5.0,1299703.36,4579,7878,2025-07-03,2025-07-31 10:30:30.558925
P39514619,美妆个护_款式55,6851,2783,0.2872,366,2478,3.7,1110511.85,251,5114,2025-07-25,2025-07-31 10:30:30.558925
P38987411,家居用品_款式56,6708,1947,0.1851,40,2403,3.5,10080922.3,6134,4294,2025-07-25,2025-07-31 10:30:30.558925
P90698000,电子产品_款式57,2786,1282,0.1757,442,846,4.8,674665.72,524,1706,2025-07-24,2025-07-31 10:30:30.558925
P17565157,电子产品_款式58,3334,834,0.1982,422,1158,3.8,10018846.28,2426,2856,2025-07-11,2025-07-31 10:30:30.558925
P75858155,服装鞋帽_款式59,1952,918,0.0923,47,559,4.8,535624.88,214,1692,2025-07-12,2025-07-31 10:30:30.558925
P96300032,电子产品_款式60,5466,664,0.0663,293,2078,3.4,5128243.29,2669,4618,2025-07-05,2025-07-31 10:30:30.558925
P17678663,美妆个护_款式61,8999,2814,0.2427,497,2940,4.3,1456914.96,333,7991,2025-07-23,2025-07-31 10:30:30.558925
P32399785,服装鞋帽_款式62,8782,1933,0.1279,88,2707,4.1,3465483.12,5121,6114,2025-07-13,2025-07-31 10:30:30.558925
