product_id,product_name,stat_date,traffic_acquisition_score,traffic_conversion_score,content_marketing_score,customer_acquisition_score,service_quality_score,total_score,level,amount,price,sales_num,visitor_num,visitor_sales_ratio
P00001,玩具限量款,2025-01-19,34.14,10.56,64.76,92.83,28.7,46.2,D,30833594.88,7829.76,3938,25482,6.47
P00002,图书特惠款,2025-01-06,45.52,80.11,4.17,76.95,0.32,41.41,D,1262080.1,2935.07,430,11146,25.92
P00003,女装升级版,2025-01-28,24.86,66.64,98.75,46.83,12.33,49.88,D,16810526.75,9161.05,1835,13319,7.26
P00004,家居基础款,2025-01-10,14.71,6.27,48.37,12.72,79.23,32.26,D,13394358.6,5711.88,2345,21974,9.37
P00005,男装特惠款,2025-01-19,76.18,92.26,39.3,92.91,49.96,70.12,B,12619203.74,8022.38,1573,46597,29.62
P00006,美妆限量款,2025-01-17,99.64,83.09,2.48,25.14,21.43,46.36,D,4856653.4,2163.32,2245,34976,15.58
P00007,玩具基础款,2025-01-29,93.79,95.91,19.12,95.4,44.4,69.72,C,7269435.52,2641.51,2752,5863,2.13
P00008,女装限量款,2025-01-13,96.98,92.6,80.68,75.89,57.24,80.68,B,7420646.6,7000.61,1060,14503,13.68
P00009,玩具升级版,2025-01-25,66.92,71.98,78.34,32.1,9.71,51.81,C,342174.93,8345.73,41,628,15.32
P00010,女装特惠款,2025-01-12,5.05,19.41,47.59,23.52,35.91,26.3,D,4632833.84,1460.08,3173,87851,27.69
P00011,男装特惠款,2025-01-25,37.16,56.12,43.58,98.49,3.54,47.78,D,6487604.72,4480.39,1448,34828,24.05
P00012,玩具特惠款,2025-01-06,27.19,71.28,36.6,27.98,88.15,50.24,C,7958150.0,1675.4,4750,8060,1.7
P00013,玩具特惠款,2025-01-13,12.53,13.15,34.05,50.05,84.76,38.91,D,9723128.4,5686.04,1710,51045,29.85
P00014,家居限量款,2025-01-10,19.06,47.82,21.77,62.99,52.01,40.73,D,5784535.68,1707.36,3388,57311,16.92
P00015,家居升级版,2025-01-21,11.82,34.24,54.58,49.96,87.9,47.7,D,1616881.59,760.17,2127,4456,2.09
P00016,男装特惠款,2025-01-28,48.93,34.99,96.11,26.4,73.58,56.0,C,6719730.02,4992.37,1346,15670,11.64
P00017,玩具特惠款,2025-01-29,26.1,18.68,64.44,6.19,34.03,29.89,D,24329959.24,4917.13,4948,26619,5.38
P00018,男装基础款,2025-01-19,59.06,4.66,17.77,80.06,26.9,37.69,D,3108268.1,2310.98,1345,14379,10.69
P00019,家居限量款,2025-01-30,36.03,77.22,61.8,71.88,46.83,58.75,C,33245675.4,8682.6,3829,13178,3.44
P00020,图书限量款,2025-01-25,49.38,57.59,71.08,32.08,65.34,55.09,C,17997876.52,3624.22,4966,140123,28.22
P00021,食品限量款,2025-01-24,73.7,11.46,61.48,31.11,90.92,53.73,C,19845626.84,9937.72,1997,2647,1.33
P00022,家居基础款,2025-01-29,49.94,42.16,62.48,47.76,92.65,59.0,C,12737893.35,5024.81,2535,49382,19.48
P00023,男装升级版,2025-01-07,77.35,40.81,64.51,35.74,61.31,55.94,C,19752780.48,7141.28,2766,44951,16.25
P00024,玩具基础款,2025-01-18,18.23,71.75,15.61,28.04,28.71,32.47,D,15475877.01,4737.03,3267,32587,9.97
P00025,男装特惠款,2025-01-25,70.57,96.6,82.14,33.6,84.16,73.41,B,3788038.0,3494.5,1084,3509,3.24
P00026,家居升级版,2025-01-25,25.55,22.86,91.45,45.4,10.42,39.14,D,3878503.29,1480.91,2619,21978,8.39
P00027,玩具特惠款,2025-01-13,45.73,74.77,46.54,17.75,94.92,55.94,C,32732405.45,8566.45,3821,82246,21.52
P00028,玩具升级版,2025-01-08,65.67,29.95,59.67,36.13,8.36,39.96,D,16138431.78,4330.14,3727,57226,15.35
P00029,玩具限量款,2025-01-17,95.42,86.76,32.06,89.16,20.33,64.75,C,9389232.22,5595.49,1678,22556,13.44
P00030,图书升级版,2025-01-03,92.14,74.39,74.86,86.72,71.72,79.97,B,11986968.3,3109.46,3855,54379,14.11
P00031,男装限量款,2025-01-08,52.79,85.8,31.51,74.6,36.63,56.27,C,16078584.62,5292.49,3038,9301,3.06
P00032,女装限量款,2025-01-13,49.31,37.95,95.83,85.45,19.48,57.6,C,23794785.0,6798.51,3500,30453,8.7
P00033,图书特惠款,2025-01-05,19.21,95.34,14.69,20.37,30.9,36.1,D,3760251.88,3105.08,1211,27250,22.5
P00034,食品特惠款,2025-01-11,68.79,64.18,37.87,61.59,88.5,64.19,C,4164329.82,2211.54,1883,39025,20.72
P00035,女装升级版,2025-01-25,2.27,46.6,20.11,77.17,87.61,46.75,D,506042.0,210.5,2404,13643,5.68
P00036,美妆特惠款,2025-01-21,41.99,3.35,44.92,16.78,0.13,21.43,D,16882957.8,4913.55,3436,21866,6.36
P00037,食品升级版,2025-01-14,1.82,64.49,36.56,93.82,32.67,45.87,D,9429467.52,6303.12,1496,23011,15.38
P00038,图书限量款,2025-01-04,76.27,63.9,10.95,27.39,14.0,38.5,D,1744670.88,8077.18,216,2186,10.12
